DATUM;UHRZEIT VON;UHRZEIT BIS;BETR. NEG;BETR. POS;LETZTE AENDERUNG;ERSATZWERT;QUAL. NEG;QUAL. POS;LETZTE AENDERUNG
01.01.2016;00:00;00:15;410,975;2,539;-;;413,084;1,392;-
01.01.2016;00:15;00:30;55,032;22,449;-;;60,684;28,016;-
01.01.2016;00:30;00:45;4,382;253,844;-;;10,324;258,752;-
01.01.2016;00:45;01:00;10,581;71,016;-;;15,644;75,316;-
01.01.2016;01:00;01:15;14,533;104,270;-;;17,972;108,124;-
01.01.2016;01:15;01:30;13,878;72,554;-;;15,800;74,048;-
01.01.2016;01:30;01:45;27,014;17,797;-;;30,936;21,640;-
01.01.2016;01:45;02:00;53,210;5,589;-;;56,328;9,176;-
01.01.2016;02:00;02:15;3,614;285,523;-;;8,244;289,724;-
01.01.2016;02:15;02:30;11,799;75,228;-;;14,984;77,580;-
01.01.2016;02:30;02:45;28,023;30,635;-;;32,420;35,484;-
01.01.2016;02:45;03:00;17,601;7,676;-;;19,772;10,180;-
01.01.2016;03:00;03:15;1,333;363,638;-;;4,512;367,092;-
01.01.2016;03:15;03:30;1,324;171,702;-;;4,416;174,028;-
01.01.2016;03:30;03:45;13,802;12,403;-;;16,124;14,800;-
01.01.2016;03:45;04:00;19,922;49,729;-;;25,172;53,512;-
01.01.2016;04:00;04:15;27,866;24,516;-;;30,128;26,764;-
01.01.2016;04:15;04:30;46,788;2,637;-;;48,576;4,252;-
01.01.2016;04:30;04:45;31,213;5,561;-;;32,948;7,264;-
01.01.2016;04:45;05:00;9,643;43,440;-;;11,044;44,644;-
01.01.2016;05:00;05:15;8,903;51,462;-;;10,632;53,332;-
01.01.2016;05:15;05:30;6,009;76,783;-;;7,536;78,972;-
01.01.2016;05:30;05:45;4,900;41,974;-;;6,496;43,104;-
01.01.2016;05:45;06:00;10,381;15,437;-;;11,028;16,948;-
01.01.2016;06:00;06:15;4,653;92,045;-;;6,448;94,184;-
01.01.2016;06:15;06:30;7,511;70,242;-;;8,828;70,300;-
01.01.2016;06:30;06:45;7,079;71,896;-;;15,116;79,712;-
01.01.2016;06:45;07:00;4,930;34,037;-;;7,848;35,828;-
01.01.2016;07:00;07:15;66,277;35,154;-;;71,196;39,324;-
01.01.2016;07:15;07:30;49,256;10,800;-;;51,844;12,944;-
01.01.2016;07:30;07:45;282,545;11,256;-;;284,104;10,904;-
01.01.2016;07:45;08:00;341,157;2,495;-;;343,068;3,396;-
01.01.2016;08:00;08:15;332,410;11,705;-;;336,216;7,180;-
01.01.2016;08:15;08:30;313,393;7,175;-;;315,852;8,644;-
01.01.2016;08:30;08:45;170,636;2,348;-;;172,188;4,052;-
01.01.2016;08:45;09:00;59,693;10,016;-;;61,952;11,472;-
01.01.2016;09:00;09:15;125,310;175,751;-;;129,904;179,828;-
01.01.2016;09:15;09:30;76,303;18,912;-;;78,220;19,808;-
01.01.2016;09:30;09:45;108,958;1,824;-;;111,780;2,584;-
01.01.2016;09:45;10:00;157,438;1,869;-;;161,136;5,116;-
01.01.2016;10:00;10:15;241,891;3,281;-;;245,568;5,360;-
01.01.2016;10:15;10:30;153,040;36,149;-;;154,064;37,140;-
01.01.2016;10:30;10:45;69,285;3,105;-;;70,380;4,160;-
01.01.2016;10:45;11:00;63,437;10,474;-;;65,744;10,696;-
01.01.2016;11:00;11:15;135,318;112,275;-;;136,716;114,004;-
01.01.2016;11:15;11:30;92,414;1,875;-;;93,708;2,596;-
01.01.2016;11:30;11:45;97,286;2,708;-;;99,492;5,524;-
01.01.2016;11:45;12:00;34,725;7,720;-;;36,884;8,432;-
01.01.2016;12:00;12:15;54,192;9,039;-;;55,804;9,912;-
01.01.2016;12:15;12:30;194,982;1,737;-;;196,296;2,632;-
01.01.2016;12:30;12:45;305,823;3,061;-;;308,828;4,816;-
01.01.2016;12:45;13:00;286,455;14,854;-;;289,452;18,064;-
01.01.2016;13:00;13:15;350,288;1,193;-;;351,756;2,244;-
01.01.2016;13:15;13:30;235,593;3,998;-;;239,920;8,128;-
01.01.2016;13:30;13:45;128,497;52,900;-;;131,920;56,844;-
01.01.2016;13:45;14:00;53,315;2,912;-;;59,128;8,032;-
01.01.2016;14:00;14:15;11,627;72,948;-;;14,772;76,596;-
01.01.2016;14:15;14:30;18,800;14,458;-;;21,932;16,276;-
01.01.2016;14:30;14:45;40,922;14,531;-;;42,588;15,424;-
01.01.2016;14:45;15:00;61,503;9,392;-;;62,808;10,896;-
01.01.2016;15:00;15:15;27,514;38,882;-;;32,012;86,460;-
01.01.2016;15:15;15:30;8,846;81,370;-;;11,924;84,348;-
01.01.2016;15:30;15:45;7,364;104,248;-;;10,180;107,676;-
01.01.2016;15:45;16:00;19,071;22,111;-;;21,180;23,676;-
01.01.2016;16:00;16:15;18,476;70,055;-;;14,492;71,996;-
01.01.2016;16:15;16:30;11,816;207,863;-;;13,852;213,160;-
01.01.2016;16:30;16:45;28,022;298,044;-;;31,360;301,444;-
01.01.2016;16:45;17:00;5,067;257,881;-;;9,464;261,232;-
01.01.2016;17:00;17:15;15,377;43,894;-;;23,240;50,476;-
01.01.2016;17:15;17:30;33,088;12,732;-;;37,308;10,772;-
01.01.2016;17:30;17:45;161,638;4,504;-;;163,348;4,920;-
01.01.2016;17:45;18:00;281,078;3,277;-;;282,356;3,368;-
01.01.2016;18:00;18:15;101,517;4,951;-;;105,240;7,460;-
01.01.2016;18:15;18:30;44,999;6,688;-;;47,872;8,992;-
01.01.2016;18:30;18:45;84,893;4,005;-;;88,996;3,608;-
01.01.2016;18:45;19:00;218,535;15,638;-;;220,000;16,500;-
01.01.2016;19:00;19:15;282,974;1,799;-;;284,528;2,092;-
01.01.2016;19:15;19:30;520,246;1,823;-;;521,424;2,072;-
01.01.2016;19:30;19:45;648,652;0,713;-;;649,488;0,044;-
01.01.2016;19:45;20:00;633,545;0,809;-;;634,156;0,928;-
01.01.2016;20:00;20:15;105,487;127,936;-;;107,856;131,192;-
01.01.2016;20:15;20:30;94,877;52,064;-;;97,428;53,536;-
01.01.2016;20:30;20:45;197,562;4,468;-;;198,896;4,188;-
01.01.2016;20:45;21:00;520,741;3,633;-;;521,384;2,524;-
01.01.2016;21:00;21:15;193,923;10,151;-;;194,864;11,548;-
01.01.2016;21:15;21:30;132,573;12,989;-;;134,592;12,908;-
01.01.2016;21:30;21:45;172,499;6,947;-;;174,784;7,324;-
01.01.2016;21:45;22:00;420,980;4,046;-;;422,032;2,408;-
01.01.2016;22:00;22:15;85,906;14,645;-;;88,396;15,228;-
01.01.2016;22:15;22:30;64,240;26,373;-;;67,448;28,300;-
01.01.2016;22:30;22:45;94,230;8,936;-;;99,632;11,248;-
01.01.2016;22:45;23:00;128,870;40,130;-;;131,416;41,648;-
01.01.2016;23:00;23:15;58,086;90,285;-;;63,564;94,936;-
01.01.2016;23:15;23:30;83,034;73,001;-;;85,816;75,472;-
01.01.2016;23:30;23:45;183,490;8,822;-;;184,296;8,948;-
01.01.2016;23:45;00:00;68,446;56,012;-;;70,072;56,464;-
02.01.2016;00:00;00:15;703,271;4,357;-;;704,952;3,580;-
