DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MWh];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY
28.12.2015;03.01.2016;SRL;NEG_HT;589,000;500,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;689,000;5999,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;645,000;400,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;645,000;400,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;565,000;4440,000;GRID_TO_PROVIDER;8;8;DE
28.12.2015;03.01.2016;SRL;NEG_HT;580,000;4440,000;GRID_TO_PROVIDER;8;8;DE
28.12.2015;03.01.2016;SRL;NEG_HT;635,000;4440,000;GRID_TO_PROVIDER;6;6;DE
28.12.2015;03.01.2016;SRL;NEG_HT;580,000;4440,000;GRID_TO_PROVIDER;8;8;DE
28.12.2015;03.01.2016;SRL;NEG_HT;580,000;4440,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;440,000;1500,000;GRID_TO_PROVIDER;9;9;DE
28.12.2015;03.01.2016;SRL;NEG_HT;499,000;6,500;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;533,000;8,500;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;642,000;36,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;698,000;93,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;699,000;90,000;GRID_TO_PROVIDER;10;9;DE
28.12.2015;03.01.2016;SRL;NEG_HT;250,000;100,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;250,000;250,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;582,000;182,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;565,000;182,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;545,000;182,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;485,000;182,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;698,000;445,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;696,580;281,250;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;689,000;260,000;GRID_TO_PROVIDER;7;7;DE
28.12.2015;03.01.2016;SRL;NEG_HT;589,000;500,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;479,000;174,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;479,000;353,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;598,000;94,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;345,000;166,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;589,000;2890,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;445,000;5790,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;490,000;5790,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;545,000;18900,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;625,000;18900,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;516,000;19,500;GRID_TO_PROVIDER;9;9;DE
28.12.2015;03.01.2016;SRL;NEG_HT;524,000;25,300;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;552,000;23,400;GRID_TO_PROVIDER;30;30;DE
28.12.2015;03.01.2016;SRL;NEG_HT;564,000;22,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;576,000;181,700;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;586,000;140,200;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;609,000;201,200;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;627,000;157,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;635,000;169,300;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;664,000;146,100;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;669,000;194,900;GRID_TO_PROVIDER;30;30;DE
28.12.2015;03.01.2016;SRL;NEG_HT;684,000;129,300;GRID_TO_PROVIDER;9;9;DE
28.12.2015;03.01.2016;SRL;NEG_HT;697,000;1586,800;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;507,000;21,300;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;499,000;4440,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;545,000;4440,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;666,000;165,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;486,000;1490,000;GRID_TO_PROVIDER;12;12;DE
28.12.2015;03.01.2016;SRL;NEG_HT;432,000;1490,000;GRID_TO_PROVIDER;16;16;DE
28.12.2015;03.01.2016;SRL;NEG_HT;356,000;1490,000;GRID_TO_PROVIDER;26;26;DE
28.12.2015;03.01.2016;SRL;NEG_HT;324,000;1490,000;GRID_TO_PROVIDER;22;22;DE
28.12.2015;03.01.2016;SRL;NEG_HT;297,000;1490,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;448,000;58,000;GRID_TO_PROVIDER;15;15;DE
28.12.2015;03.01.2016;SRL;NEG_HT;486,000;1490,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;432,000;1490,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;356,000;1490,000;GRID_TO_PROVIDER;17;17;DE
28.12.2015;03.01.2016;SRL;NEG_HT;324,000;1490,000;GRID_TO_PROVIDER;13;13;DE
28.12.2015;03.01.2016;SRL;NEG_HT;297,000;1490,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;432,000;1490,000;GRID_TO_PROVIDER;9;9;DE
28.12.2015;03.01.2016;SRL;NEG_HT;486,000;1490,000;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;432,000;1490,000;GRID_TO_PROVIDER;30;30;DE
28.12.2015;03.01.2016;SRL;NEG_HT;356,000;1490,000;GRID_TO_PROVIDER;50;50;DE
28.12.2015;03.01.2016;SRL;NEG_HT;324,000;1490,000;GRID_TO_PROVIDER;40;40;DE
28.12.2015;03.01.2016;SRL;NEG_HT;297,000;1490,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;685,000;220,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;685,000;200,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;580,000;58,000;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;590,000;53,290;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;599,000;48,570;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;609,000;43,860;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;619,000;39,140;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;629,000;34,430;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;638,000;29,710;GRID_TO_PROVIDER;19;19;DE
28.12.2015;03.01.2016;SRL;NEG_HT;648,000;25,000;GRID_TO_PROVIDER;27;27;DE
28.12.2015;03.01.2016;SRL;NEG_HT;680,000;289,000;GRID_TO_PROVIDER;24;24;DE
28.12.2015;03.01.2016;SRL;NEG_HT;668,000;259,000;GRID_TO_PROVIDER;24;24;DE
28.12.2015;03.01.2016;SRL;NEG_HT;656,000;229,000;GRID_TO_PROVIDER;24;24;DE
28.12.2015;03.01.2016;SRL;NEG_HT;644,000;199,000;GRID_TO_PROVIDER;24;24;DE
28.12.2015;03.01.2016;SRL;NEG_HT;632,000;169,000;GRID_TO_PROVIDER;24;24;DE
28.12.2015;03.01.2016;SRL;NEG_HT;620,000;139,000;GRID_TO_PROVIDER;40;40;DE
28.12.2015;03.01.2016;SRL;NEG_HT;680,000;1800,000;GRID_TO_PROVIDER;42;42;DE
28.12.2015;03.01.2016;SRL;NEG_HT;593,240;443,000;GRID_TO_PROVIDER;7;7;DE
28.12.2015;03.01.2016;SRL;NEG_HT;597,660;5999,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;545,000;780,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;605,190;5999,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;610,790;5999,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;616,390;5999,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;659,610;5999,970;GRID_TO_PROVIDER;6;6;DE
28.12.2015;03.01.2016;SRL;NEG_HT;622,450;5999,970;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;627,770;5999,970;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;633,100;5999,970;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;638,420;5999,970;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;643,750;5999,970;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;648,960;5999,970;GRID_TO_PROVIDER;13;13;DE
28.12.2015;03.01.2016;SRL;NEG_HT;654,290;5999,970;GRID_TO_PROVIDER;8;8;DE
28.12.2015;03.01.2016;SRL;NEG_HT;617,000;998,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;664,940;5999,970;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;670,260;5999,970;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;675,590;5999,970;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;680,910;5999,970;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;686,240;5999,970;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;694,000;610,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;504,000;,500;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;520,000;5,900;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;536,000;4500,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;551,000;17,000;GRID_TO_PROVIDER;10;10;DE
28.12.2015;03.01.2016;SRL;NEG_HT;567,000;5,900;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;583,000;5,900;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;599,000;7,500;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;615,000;5,900;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;630,000;32,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;646,000;27,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;662,000;47,000;GRID_TO_PROVIDER;20;20;DE
28.12.2015;03.01.2016;SRL;NEG_HT;678,000;65,000;GRID_TO_PROVIDER;30;30;DE
28.12.2015;03.01.2016;SRL;NEG_HT;694,000;117,000;GRID_TO_PROVIDER;40;40;DE
28.12.2015;03.01.2016;SRL;NEG_HT;593,240;443,000;GRID_TO_PROVIDER;21;21;DE
28.12.2015;03.01.2016;SRL;NEG_HT;688,000;1845,000;GRID_TO_PROVIDER;12;12;DE
28.12.2015;03.01.2016;SRL;NEG_HT;423,320;443,000;GRID_TO_PROVIDER;6;6;DE
28.12.2015;03.01.2016;SRL;NEG_HT;593,240;443,000;GRID_TO_PROVIDER;12;12;DE
28.12.2015;03.01.2016;SRL;NEG_HT;633,000;1,000;PROVIDER_TO_GRID;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;633,000;144,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;633,000;298,000;GRID_TO_PROVIDER;5;5;DE
28.12.2015;03.01.2016;SRL;NEG_HT;643,000;4,000;GRID_TO_PROVIDER;12;12;DE
28.12.2015;03.01.2016;SRL;NEG_HT;653,000;8,000;GRID_TO_PROVIDER;12;12;DE
28.12.2015;03.01.2016;SRL;NEG_HT;663,000;24,000;GRID_TO_PROVIDER;13;13;DE
28.12.2015;03.01.2016;SRL;NEG_HT;673,000;34,000;GRID_TO_PROVIDER;13;13;DE
28.12.2015;03.01.2016;SRL;NEG_HT;674,000;44,000;GRID_TO_PROVIDER;13;13;DE
28.12.2015;03.01.2016;SRL;NEG_HT;674,000;64,000;GRID_TO_PROVIDER;13;13;DE
