DATE_FROM;DATE_TO;GATE_OPEN_TIME;GATE_COSURE_TIME;ALLOCATION_DEADLINE;TENDER_TYPE;ROUND;TYPE_OF_RESERVES;PRODUCT;TOTAL_DEMAND_[MW];GERMANY_DEMAND_[MW];GERMANY_CORE_PORTION_[MW];50HERTZ_CORE_PORTION_[MW];AMPRION_CORE_PORTION_[MW];TENNET_CORE_PORTION_[MW];TRANSNETBW_CORE_PORTION_[MW]
28.12.2015;03.01.2016;18.12.2015 12:00;22.12.2015 15:00;22.12.2015 16:00;WA;1;SRL;NEG_HT;2500;2500;0;0;0;0;0
28.12.2015;03.01.2016;18.12.2015 12:00;22.12.2015 15:00;22.12.2015 16:00;WA;1;SRL;NEG_NT;2500;2500;0;0;0;0;0
28.12.2015;03.01.2016;18.12.2015 12:00;22.12.2015 15:00;22.12.2015 16:00;WA;1;SRL;POS_HT;2500;2500;0;0;0;0;0
28.12.2015;03.01.2016;18.12.2015 12:00;22.12.2015 15:00;22.12.2015 16:00;WA;1;SRL;POS_NT;2500;2500;0;0;0;0;0
04.01.2016;10.01.2016;23.12.2015 12:00;29.12.2015 15:00;29.12.2015 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
04.01.2016;10.01.2016;23.12.2015 12:00;29.12.2015 15:00;29.12.2015 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
04.01.2016;10.01.2016;23.12.2015 12:00;29.12.2015 15:00;29.12.2015 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
04.01.2016;10.01.2016;23.12.2015 12:00;29.12.2015 15:00;29.12.2015 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
11.01.2016;17.01.2016;30.12.2015 12:00;05.01.2016 15:00;05.01.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
11.01.2016;17.01.2016;30.12.2015 12:00;05.01.2016 15:00;05.01.2016 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
11.01.2016;17.01.2016;30.12.2015 12:00;05.01.2016 15:00;05.01.2016 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
11.01.2016;17.01.2016;30.12.2015 12:00;05.01.2016 15:00;05.01.2016 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
18.01.2016;24.01.2016;08.01.2016 12:00;13.01.2016 15:00;13.01.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
18.01.2016;24.01.2016;08.01.2016 12:00;13.01.2016 15:00;13.01.2016 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
18.01.2016;24.01.2016;08.01.2016 12:00;13.01.2016 15:00;13.01.2016 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
18.01.2016;24.01.2016;08.01.2016 12:00;13.01.2016 15:00;13.01.2016 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
25.01.2016;31.01.2016;15.01.2016 12:00;20.01.2016 15:00;20.01.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
25.01.2016;31.01.2016;15.01.2016 12:00;20.01.2016 15:00;20.01.2016 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
25.01.2016;31.01.2016;15.01.2016 12:00;20.01.2016 15:00;20.01.2016 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
25.01.2016;31.01.2016;15.01.2016 12:00;20.01.2016 15:00;20.01.2016 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
01.02.2016;07.02.2016;22.01.2016 12:00;27.01.2016 15:00;27.01.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
01.02.2016;07.02.2016;22.01.2016 12:00;27.01.2016 15:00;27.01.2016 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
01.02.2016;07.02.2016;22.01.2016 12:00;27.01.2016 15:00;27.01.2016 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
01.02.2016;07.02.2016;22.01.2016 12:00;27.01.2016 15:00;27.01.2016 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
08.02.2016;14.02.2016;29.01.2016 12:00;03.02.2016 15:00;03.02.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
08.02.2016;14.02.2016;29.01.2016 12:00;03.02.2016 15:00;03.02.2016 16:00;WA;1;SRL;NEG_NT;1979;1979;0;0;0;0;0
08.02.2016;14.02.2016;29.01.2016 12:00;03.02.2016 15:00;03.02.2016 16:00;WA;1;SRL;POS_HT;2054;2054;0;0;0;0;0
08.02.2016;14.02.2016;29.01.2016 12:00;03.02.2016 15:00;03.02.2016 16:00;WA;1;SRL;POS_NT;2054;2054;0;0;0;0;0
15.02.2016;21.02.2016;05.02.2016 12:00;10.02.2016 15:00;10.02.2016 16:00;WA;1;SRL;NEG_HT;1979;1979;0;0;0;0;0
